"","Mgmt","Dist","ft","group","-2","100"
"72","Diameter-Limit Timber Cut","Extreme Weather","Oak-Mixed Hardwood - 'Xeric'","> 52.5 cm",19.9858973069853,NA
"73","Diameter-Limit Timber Cut","Extreme Weather","Northern Hardwood - 'Mesic'","12.5 ~ 27.5 cm",32.5528715755771,0.353804917426346
"74","Diameter-Limit Timber Cut","Extreme Weather","Northern Hardwood - 'Mesic'","27.5 ~ 52.5 cm",76.8842264677143,0.0073820007973199
"75","Diameter-Limit Timber Cut","Extreme Weather","Northern Hardwood - 'Mesic'","< 12.5 cm",21.770910225479,29.4905931377386
"76","Diameter-Limit Timber Cut","Extreme Weather","Northern Hardwood - 'Mesic'","> 52.5 cm",19.0967641549625,NA
"77","Diameter-Limit Timber Cut","Extreme Weather","Northern Hardwood - 'Xeric'","12.5 ~ 27.5 cm",40.3688804057717,70.4855977457361
"78","Diameter-Limit Timber Cut","Extreme Weather","Northern Hardwood - 'Xeric'","27.5 ~ 52.5 cm",77.8318501004084,0.609373078350547
"79","Diameter-Limit Timber Cut","Extreme Weather","Northern Hardwood - 'Xeric'","< 12.5 cm",21.6243959022244,25.9487517686833
"80","Diameter-Limit Timber Cut","Extreme Weather","Northern Hardwood - 'Xeric'","> 52.5 cm",17.2738264667447,NA
"81","Diameter-Limit Timber Cut","Extreme Weather & Pests & Diseases","Oak-Mixed Hardwood - 'Mesic'","12.5 ~ 27.5 cm",27.3732172861385,0
"82","Diameter-Limit Timber Cut","Extreme Weather & Pests & Diseases","Oak-Mixed Hardwood - 'Mesic'","27.5 ~ 52.5 cm",77.1411046495411,NA
"83","Diameter-Limit Timber Cut","Extreme Weather & Pests & Diseases","Oak-Mixed Hardwood - 'Mesic'","< 12.5 cm",11.5484064496081,31.1468652635137
"84","Diameter-Limit Timber Cut","Extreme Weather & Pests & Diseases","Oak-Mixed Hardwood - 'Mesic'","> 52.5 cm",31.7605867519842,NA
"85","Diameter-Limit Timber Cut","Extreme Weather & Pests & Diseases","Oak-Mixed Hardwood - 'Xeric'","12.5 ~ 27.5 cm",34.3135931045564,8.44957956332365
"86","Diameter-Limit Timber Cut","Extreme Weather & Pests & Diseases","Oak-Mixed Hardwood - 'Xeric'","27.5 ~ 52.5 cm",72.6745294510142,0
"87","Diameter-Limit Timber Cut","Extreme Weather & Pests & Diseases","Oak-Mixed Hardwood - 'Xeric'","< 12.5 cm",16.3740760642681,29.0617543673521
"88","Diameter-Limit Timber Cut","Extreme Weather & Pests & Diseases","Oak-Mixed Hardwood - 'Xeric'","> 52.5 cm",19.9858973069853,NA
"89","Diameter-Limit Timber Cut","Extreme Weather & Pests & Diseases","Northern Hardwood - 'Mesic'","12.5 ~ 27.5 cm",32.5528715755771,0.329956284859642
"90","Diameter-Limit Timber Cut","Extreme Weather & Pests & Diseases","Northern Hardwood - 'Mesic'","27.5 ~ 52.5 cm",76.8842264677143,0.0010703192178522
"91","Diameter-Limit Timber Cut","Extreme Weather & Pests & Diseases","Northern Hardwood - 'Mesic'","< 12.5 cm",21.770910225479,26.5466080211212
"92","Diameter-Limit Timber Cut","Extreme Weather & Pests & Diseases","Northern Hardwood - 'Mesic'","> 52.5 cm",19.0967641549625,NA
"93","Diameter-Limit Timber Cut","Extreme Weather & Pests & Diseases","Northern Hardwood - 'Xeric'","12.5 ~ 27.5 cm",40.3688804057717,11.7048837623646
"94","Diameter-Limit Timber Cut","Extreme Weather & Pests & Diseases","Northern Hardwood - 'Xeric'","27.5 ~ 52.5 cm",77.8318501004084,0.229085500007214
"95","Diameter-Limit Timber Cut","Extreme Weather & Pests & Diseases","Northern Hardwood - 'Xeric'","< 12.5 cm",21.6243959022244,18.5964081450399
"96","Diameter-Limit Timber Cut","Extreme Weather & Pests & Diseases","Northern Hardwood - 'Xeric'","> 52.5 cm",17.2738264667447,NA
"97","Shelterwood Regeneration Cut","No Disturbance","Oak-Mixed Hardwood - 'Mesic'","12.5 ~ 27.5 cm",27.3732172861385,124.275875491707
